artist,count,popularity,tempo,loudness,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence
Brenda Russell,12,28.0,105.735,-12.278666666666668,0.44215,0.6558333333333333,0.4601666666666668,0.0001583783333333,0.1114666666666666,0.0428333333333333,0.5245000000000001
Brent Faiyaz,51,64.37254901960785,121.20221568627451,-10.228921568627452,0.4200392156862746,0.6208823529411766,0.427941176470588,0.0321787764705882,0.1812019607843136,0.1136039215686274,0.4109803921568627
Brenton Wood,88,35.61363636363637,123.4830909090908,-8.648613636363638,0.512534090909091,0.6949772727272728,0.4913181818181817,0.0004451906818181,0.1398113636363635,0.051540909090909,0.8162272727272721
Brett Dennen,14,50.14285714285714,131.22814285714287,-7.901857142857143,0.2686714285714285,0.5889999999999999,0.5998571428571429,1.6242857142857145e-06,0.0964857142857142,0.0610714285714285,0.7400000000000001
Brett Eldredge,25,61.4,117.65871999999996,-6.31984,0.2573584,0.5589999999999999,0.6822400000000002,5.85288e-05,0.1481039999999999,0.0470639999999999,0.4859999999999999
Brett Young,19,65.42105263157895,112.31089473684206,-6.868105263157895,0.3379578947368421,0.5772105263157895,0.5738421052631579,1.008421052631579e-06,0.0939421052631579,0.0337631578947368,0.4632105263157895
Brewer & Shipley,6,37.333333333333336,92.53533333333333,-9.041333333333334,0.1178666666666666,0.6149999999999999,0.7116666666666666,0.0081348433333333,0.1426666666666666,0.0336,0.8350000000000001
Brian Bennett,6,32.0,83.69699999999997,-25.41000000000001,0.8190000000000001,0.4496666666666666,0.178,0.9313333333333332,0.106,0.0488333333333333,0.5563333333333333
Brian Crain,8,51.0,102.416,-17.091500000000003,0.97775,0.30325,0.16005,0.853,0.125425,0.0351,0.205425
Brian Culbertson,14,44.57142857142857,100.1742857142857,-11.491142857142858,0.4662857142857143,0.6034285714285714,0.4928571428571428,0.7726571428571428,0.2230857142857142,0.0413142857142857,0.5004285714285713
Brian Eno,219,35.80365296803653,103.5296210045662,-21.6978310502283,0.6861643835616439,0.3233547945205479,0.2645870319634702,0.6438760775342464,0.154117808219178,0.0452342465753424,0.2418360730593609
Brian Hyland,28,32.642857142857146,116.75235714285714,-11.550285714285712,0.6250857142857145,0.6255714285714288,0.4323571428571427,0.0001020807142857,0.1230714285714285,0.0401928571428571,0.7761428571428571
Brian McKnight,48,45.25,118.91825,-9.750499999999995,0.3984577083333334,0.6395208333333332,0.3966458333333333,0.00017194875,0.1480916666666666,0.0585458333333333,0.3837375000000001
Brian Regan,14,39.85714285714285,97.93271428571428,-14.776428571428568,0.8052857142857142,0.5395714285714286,0.515,3.241428571428571e-06,0.8082857142857142,0.909857142857143,0.3252857142857143
Brian Stokes Mitchell,6,31.33333333333333,94.711,-12.143,0.8643333333333333,0.375,0.3433333333333333,0.0042371233333333,0.2126666666666666,0.0564,0.3546666666666667
Brian Tuey,6,55.16666666666666,158.36566666666667,-7.9556666666666676,0.1926066666666666,0.4748333333333333,0.7538333333333332,0.325465345,0.1444666666666666,0.0651833333333333,0.385
Brian Tyler,6,55.66666666666666,120.019,-12.250333333333336,0.0735666666666666,0.3793333333333333,0.5316666666666666,0.8729999999999999,0.0894999999999999,0.0423,0.2149
Brick,16,34.25,110.34162499999998,-7.811000000000001,0.0725875,0.7032499999999999,0.7826250000000001,0.1681586699999999,0.1064625,0.044375,0.869375
Bridget St John,6,30.66666666666667,119.087,-17.455333333333336,0.8733333333333334,0.4873333333333334,0.3013333333333333,0.0183391666666666,0.0879666666666666,0.0428333333333333,0.3979999999999999
Bridgit Mendler,12,61.33333333333334,127.66083333333334,-4.042583333333334,0.07588675,0.594,0.7999166666666667,7.426666666666664e-06,0.0997833333333333,0.0545416666666666,0.52175
Bright Eyes,36,44.44444444444444,114.97916666666669,-10.463111111111113,0.3445888888888889,0.4003888888888889,0.4968666666666668,0.0113510888888888,0.1799499999999999,0.0496111111111111,0.3462944444444445
Britney Spears,113,57.212389380530965,117.0212654867256,-4.832716814159292,0.1551378053097345,0.7302035398230091,0.7702300884955753,0.0030104752212389,0.2172831858407078,0.0656353982300885,0.7298761061946902
Britny Fox,6,33.333333333333336,127.714,-8.659666666666666,0.0052416666666666,0.5596666666666666,0.835,0.0013237166666666,0.1468,0.0482333333333333,0.6346666666666666
Britt Nicole,13,50.84615384615386,147.61869230769233,-4.575923076923077,0.11532,0.5194615384615384,0.7356923076923075,9.121538461538464e-06,0.1501307692307692,0.0506461538461538,0.5047999999999999
Broadcast,16,44.5,107.712125,-11.566499999999998,0.39951525,0.395125,0.472,0.4229830000000001,0.146725,0.0369125,0.202725
Broken Bells,16,52.75,119.71049999999995,-6.336624999999999,0.08208,0.6075000000000002,0.6509999999999999,0.0696597499999999,0.18985,0.033125,0.61525
Broken Social Scene,12,48.16666666666666,113.32466666666669,-8.736166666666668,0.05875,0.5111666666666667,0.5998333333333333,0.3615466666666667,0.1513,0.05035,0.4775
Bronco,95,39.526315789473685,126.8265052631579,-11.53803157894736,0.4140757894736843,0.6418421052631579,0.5810421052631581,5.2774736842105255e-06,0.1350294736842104,0.0556031578947368,0.8977789473684208
Bronco El Gigante de America,6,44.33333333333334,167.266,-3.9453333333333327,0.3279999999999999,0.6466666666666667,0.7320000000000001,0.0,0.1056333333333333,0.0381666666666666,0.7683333333333334
Brook Benton,24,27.75,117.26541666666662,-13.645583333333333,0.77175,0.4122500000000001,0.3692499999999999,0.0068155133333333,0.2536583333333334,0.0422,0.4503333333333335
Brooklyn Bridge,8,21.0,111.219,-11.34075,0.58225,0.291,0.469,1.0800000000000003e-05,0.125225,0.033475,0.3449999999999999
Brooks & Dunn,134,44.44776119402986,130.69764179104482,-6.997917910447757,0.1999632089552238,0.6302313432835821,0.7027014925373136,0.0003179794776119,0.2331820895522389,0.0362238805970149,0.6486492537313434
Brooks Jefferson,12,56.33333333333334,106.124,-5.6895,0.5226666666666667,0.5946666666666668,0.6618333333333334,0.0001439833333333,0.1441333333333333,0.0466,0.4886666666666668
Brotha Lynch Hung,26,38.230769230769226,115.53326923076922,-8.43507692307692,0.05333,0.6877692307692307,0.6868846153846153,3.746153846153846e-06,0.23645,0.205576923076923,0.6663846153846154
Brothers Osborne,20,58.8,119.9284,-6.821399999999999,0.165569,0.6181,0.7303000000000001,0.045693132,0.16376,0.04412,0.5767999999999999
Brown Bird,6,46.33333333333334,165.12066666666666,-10.046333333333337,0.505,0.5343333333333332,0.421,0.0080416666666666,0.1149666666666666,0.0661333333333333,0.7723333333333334
Brownie McGhee,88,1.5,107.1656818181818,-9.255659090909097,0.909386363636364,0.7052727272727272,0.401418181818182,0.1754689772727272,0.1401659090909091,0.0754181818181817,0.7050909090909091
Brownside,10,38.2,119.5714,-10.2578,0.0899436,0.7422000000000001,0.5850000000000001,0.00213582,0.15706,0.14874,0.6618
Brownstone,10,35.6,130.8308,-9.4502,0.1627799999999999,0.5962,0.5528000000000001,0.0001746,0.10254,0.0403599999999999,0.4398000000000001
Bruce Cockburn,14,36.285714285714285,107.34214285714287,-11.21042857142857,0.3450471428571429,0.6255714285714286,0.5665714285714285,0.0849071428571428,0.086,0.0333142857142857,0.6331428571428571
Bruce Faulconer,8,40.75,128.78525,-11.24,0.005324475,0.2212,0.69425,0.86775,0.331,0.1264,0.223075
Bruce Hornsby,15,37.73333333333333,106.97953333333334,-10.9892,0.4388666666666666,0.5324666666666666,0.5891333333333334,0.0087388039999999,0.1579266666666666,0.03222,0.5724666666666667
Bruce Reitherman,16,47.625,102.849625,-15.203374999999998,0.7196249999999998,0.7306249999999999,0.3432499999999999,7.161500000000001e-05,0.194025,0.0882999999999999,0.6576249999999998
Bruce Springsteen,321,44.34267912772586,123.14034267912751,-10.98272585669782,0.2359467725856701,0.4660934579439252,0.6285003115264791,0.0229199152647975,0.4080417445482865,0.0514548286604361,0.5255470404984423
Bruno Major,8,68.25,119.54975,-11.87075,0.73775,0.59875,0.237975,0.136073375,0.106375,0.074675,0.303
Bruno Mars,94,67.74468085106382,117.71322340425525,-5.8452234042553215,0.2418344680851065,0.6712234042553189,0.6691808510638297,0.000264214680851,0.1513904255319149,0.0760648936170212,0.6006170212765954
Bruno Walter,332,0.9216867469879518,101.29438554216873,-18.853539156626503,0.9158644578313268,0.2831960843373498,0.1464167168674699,0.5236169393975901,0.1700418674698794,0.0737722891566266,0.203075903614458
Bryan Adams,125,44.264,125.82893600000004,-9.191296000000008,0.2049063120000001,0.4891200000000002,0.6306640000000001,0.00211882096,0.3563103999999999,0.0373144,0.4608176000000002
Bryan Ferry,27,44.7037037037037,122.13729629629628,-7.946925925925927,0.243382962962963,0.6686296296296297,0.6872222222222223,0.3194614000000001,0.2319259259259259,0.0389777777777777,0.7814444444444446
Bryan White,10,44.0,112.8106,-9.823600000000004,0.3939999999999999,0.4874000000000001,0.3674,0.0,0.1216199999999999,0.02816,0.3152
Bryant Myers,12,67.75,135.42600000000002,-5.715916666666665,0.3021916666666666,0.7671666666666668,0.6683333333333333,1.9341666666666662e-06,0.1838833333333333,0.1985416666666667,0.481975
Bryce Vine,26,63.07692307692307,116.74384615384616,-5.585846153846156,0.1915376923076923,0.680076923076923,0.6671923076923076,0.000429648076923,0.1993307692307692,0.0647461538461538,0.495
Bryson Tiller,67,65.14925373134328,133.77810447761203,-7.220567164179102,0.2312107462686566,0.6349253731343283,0.5504179104477614,0.000435971641791,0.1998925373134329,0.200486567164179,0.4258447761194029
Brytiago,8,71.5,118.270125,-7.0655,0.411375,0.844875,0.62375,9.4e-07,0.1726749999999999,0.2031,0.622375
Bubba Sparxxx,13,49.30769230769231,113.16084615384617,-6.563076923076923,0.1257407692307692,0.6898461538461539,0.6726923076923075,5.029230769230768e-06,0.1083076923076923,0.1945615384615384,0.6388461538461538
